Group,Excellent ratio,Good ratio,Pass ratio,Fail ratio
0,0.23051430318713714,0.32792330111283136,0.3084821792178053,0.1330802210270802
1,0.18382045504909084,0.2556491153426098,0.37723840909973794,0.18329201892531308
2,0.23611144873470857,0.2900020640209209,0.2922421409737911,0.18164436424510555
3,0.24537163685167013,0.2906115364705247,0.3557858693418218,0.10823095130101304
4,0.18369591869075172,0.39233460749486276,0.22486095484796562,0.19910852984426772
5,0.18895485445971405,0.25748474957807127,0.37280994923959354,0.1807504424571637
6,0.2289528721118396,0.2713823581093066,0.32033336917846456,0.17933140225814342
7,0.17457541455079068,0.2513461945036177,0.4121292712987614,0.16194911571664902
8,0.16250298841908792,0.12304033045048689,0.6234451915566975,0.09101147888214406
9,0.1612617262151023,0.26653518634602225,0.3773794600367696,0.19482362855694604
10,0.11133828057428047,0.21719953658948055,0.39357911908202736,0.27788306706972
11,0.15004987637837186,0.23979079435983472,0.43783441071252843,0.17232491836300057
12,0.23542501856413847,0.290933989436386,0.42017373601196156,0.053467238255132
13,0.167394864609962,0.2654390003370858,0.36587791891990273,0.20128820795603744
14,0.3478568614121151,0.43007040344922715,0.19196895598032276,0.030103745630722552
15,0.18857612394490395,0.2653069880915351,0.4283160023083483,0.11780088554345396
16,0.24736567562805786,0.29389917369777596,0.433644657108509,0.025090460671343098
17,0.16617770556248357,0.23313598858159554,0.4314088968200489,0.16927740837463312
18,0.16582716404747638,0.21264554106270062,0.5709591370881849,0.05056813967810139
19,0.17559833852611387,0.24297158008300013,0.42569417001478466,0.1557359032177156
20,0.17764331568667963,0.2611429029035031,0.46350422794712093,0.09770955588413477
21,0.17846351394042675,0.2619888801755314,0.42999078714887906,0.12955680934743097
22,0.1943860029791034,0.4942129575845166,0.20749365680578147,0.10390736929406003
23,0.16635275643523395,0.25434897758677644,0.42184002687643457,0.15745823463120664
24,0.15365483984360262,0.5044136829653197,0.13516739937695516,0.20676408427750126
25,0.17086282838932274,0.2645349339027236,0.41099349005681346,0.1536087420259519
26,0.3173375859180374,0.4334984600786986,0.1912141601345371,0.05794982739634017
27,0.18478648354524574,0.26087918661074644,0.3922323408144163,0.16210199061283984
28,0.3173375859180374,0.4334984600786986,0.1912141601345371,0.05794982739634017
29,0.1859515704387994,0.26780780484857003,0.43192363652423404,0.11431698818839654
30,0.19792974108170686,0.22370383071986258,0.46429468283340314,0.11407176682269894
31,0.18333839859512502,0.2987544410083718,0.3603828070699848,0.1575243436780165
32,0.06781521510041065,0.1113928333895222,0.7541723557918343,0.06661964042171686
33,0.17715428664304006,0.2926413218221906,0.3872313047611208,0.14297308329050212
34,0.06900369353387134,0.11650994402945061,0.7419317731396731,0.07255463124377404
35,0.18772034673436896,0.29518192171524626,0.37920001037406825,0.13789771566288672
36,0.2042183759164387,0.21701072454838816,0.4412747987522475,0.13749609400289706
37,0.17240253687349713,0.24487975649850616,0.44243157632570684,0.14028613324526912
38,0.1663268683922341,0.18066464874146215,0.571611427772361,0.08139706965982789
39,0.1844187377357863,0.2842500802530251,0.34235313505180315,0.18897803263564414
40,0.4079744586458597,0.2778547990499895,0.28454168320438317,0.02962907090893769
41,0.18872763464246042,0.24554884725599588,0.4119332477757318,0.15379026566919907
